interval,start_time,end_time,vehicle_count,avg_travel_time_sec,avg_speed
0-60,0,60,19,32.58,9.83
60-120,60,120,30,32.37,7.05
120-180,120,180,38,26.84,9.17
180-240,180,240,34,35.18,8.28
240-300,240,300,35,31.82,6.67
300-360,300,360,38,26.47,9.04
360-420,360,420,33,37.73,8.19
420-480,420,480,34,31.88,6.36
480-540,480,540,39,26.13,9.16
540-600,540,600,34,35.24,8.24
600-660,600,660,35,30.52,6.99
660-720,660,720,37,28.17,8.93
720-780,720,780,33,37.7,8.23
780-840,780,840,34,31.79,6.58
840-900,840,900,39,25.87,9.14
900-960,900,960,34,35.68,8.27
960-1020,960,1020,35,30.64,6.81
1020-1080,1020,1080,39,25.84,9.5
1080-1140,1080,1140,32,37.09,8.58
1140-1200,1140,1200,32,31.35,7.16
1200-1260,1200,1260,37,25.78,9.62
1260-1320,1260,1320,33,34.61,8.86
1320-1380,1320,1380,34,28.12,7.09
1380-1440,1380,1440,36,27.67,9.02
1440-1500,1440,1500,33,38.03,8.26
1500-1560,1500,1560,35,29.45,7.29
1560-1620,1560,1620,36,27.72,9.07
1620-1680,1620,1680,34,35.15,8.48
1680-1740,1680,1740,34,29.62,7.03
1740-1800,1740,1800,38,26.21,9.08
1800-1860,1800,1860,33,37.88,8.15
1860-1920,1860,1920,32,32.84,7.03
1920-1980,1920,1980,37,27.03,9.06
1980-2040,1980,2040,34,35.24,8.59
2040-2100,2040,2100,33,29.56,7.1
2100-2160,2100,2160,36,28.08,8.91
2160-2220,2160,2220,33,37.94,8.41
2220-2280,2220,2280,33,30.81,7.17
2280-2340,2280,2340,36,27.69,8.97
2340-2400,2340,2400,34,35.26,8.5
2400-2460,2400,2460,34,29.3,6.97
2460-2520,2460,2520,38,27.03,9.13
2520-2580,2520,2580,33,38.3,7.92
2580-2640,2580,2640,34,31.06,7.18
2640-2700,2640,2700,37,27.57,8.81
2700-2760,2700,2760,34,35.71,7.97
2760-2820,2760,2820,36,30.89,6.06
2820-2880,2820,2880,40,28.44,8.71
2880-2940,2880,2940,33,37.64,8.15
2940-3000,2940,3000,34,31.79,6.48
3000-3060,3000,3060,39,27.44,8.86
3060-3120,3060,3120,34,35.35,8.54
3120-3180,3120,3180,33,29.91,7.12
3180-3240,3180,3240,35,28.03,9.09
3240-3300,3240,3300,33,37.7,8.06
3300-3360,3300,3360,33,31.94,6.92
3360-3420,3360,3420,41,24.15,9.54
3420-3480,3420,3480,33,34.94,8.81
3480-3540,3480,3540,32,30.45,7.1
3540-3600,3540,3600,36,27.81,8.9
3600-3660,3600,3660,14,44.71,6.99
3660-3720,3660,3720,1,2.0,12.1
